hello.	你好。
good morning.	早上好。
good afternoon.	下午好。
good evening.	晚上好。
good night.	晚安。
goodbye.	再见。
thank you.	谢谢你。
thanks a lot.	非常感谢。
you are welcome.	不客气。
sorry.	对不起。
no problem.	没关系。
excuse me.	打扰一下。
how are you?	你好吗？
i am fine.	我很好。
i am happy.	我很高兴。
see you tomorrow.	明天见。
nice to meet you.	很高兴见到你。
please sit down.	请坐。
please come in.	请进。
have a nice day.	祝你今天愉快。
i am a student.	我是一个学生。
i am a teacher.	我是一个老师。
i am a doctor.	我是一个医生。
i am a worker.	我是一个工人。
i am hungry.	我饿了。
i am thirsty.	我渴了。
i am tired.	我累了。
i am busy.	我很忙。
i am ready.	我准备好了。
i am late.	我迟到了。
he is my friend.	他是我的朋友。
she is my sister.	她是我的姐姐。
he is my brother.	他是我的哥哥。
she is my mother.	她是我的妈妈。
he is my father.	他是我的爸爸。
they are students.	他们是学生。
we are friends.	我们是朋友。
this is my book.	这是我的书。
that is my bag.	那是我的包。
it is my phone.	这是我的电话。
i get up at six.	我六点起床。
i get up early.	我起得很早。
i wash my face.	我洗脸。
i brush my teeth.	我刷牙。
i eat breakfast.	我吃早饭。
i drink milk.	我喝牛奶。
i go to school.	我去学校。
i go to work.	我去上班。
i take the bus.	我坐公共汽车。
i ride a bike.	我骑自行车。
i walk to school.	我走路去学校。
i read a book.	我看书。
i write a letter.	我写信。
i listen to music.	我听音乐。
i watch television.	我看电视。
i play football.	我踢足球。
i play basketball.	我打篮球。
i do my homework.	我做作业。
i clean my room.	我打扫房间。
i cook dinner.	我做晚饭。
i eat lunch.	我吃午饭。
i eat dinner.	我吃晚饭。
i go home.	我回家。
i go to bed.	我去睡觉。
i sleep at ten.	我十点睡觉。
i take a shower.	我洗澡。
i buy some food.	我买一些食物。
i help my mother.	我帮助我的妈妈。
i call my friend.	我给我的朋友打电话。
i study english.	我学习英语。
i like rice.	我喜欢米饭。
i like noodles.	我喜欢面条。
i like bread.	我喜欢面包。
i like fish.	我喜欢鱼。
i like meat.	我喜欢肉。
i like fruit.	我喜欢水果。
i like apples.	我喜欢苹果。
i like bananas.	我喜欢香蕉。
i like tea.	我喜欢茶。
i like coffee.	我喜欢咖啡。
i want some water.	我想要一些水。
i want some rice.	我想要一些米饭。
this apple is red.	这个苹果是红色的。
this banana is yellow.	这个香蕉是黄色的。
the food is good.	这个食物很好吃。
the soup is hot.	这个汤很热。
the tea is warm.	这个茶是温的。
the cake is sweet.	这个蛋糕很甜。
i am hungry now.	我现在饿了。
let us eat.	我们吃饭吧。
breakfast is ready.	早饭准备好了。
dinner is ready.	晚饭准备好了。
i drink tea every day.	我每天喝茶。
i eat an apple every day.	我每天吃一个苹果。
i do not like coffee.	我不喜欢咖啡。
today is monday.	今天是星期一。
today is friday.	今天是星期五。
tomorrow is sunday.	明天是星期天。
it is monday today.	今天星期一。
it is sunny today.	今天晴天。
it is raining.	下雨了。
it is cold today.	今天很冷。
it is hot today.	今天很热。
it is warm today.	今天很暖和。
the weather is good.	天气很好。
the weather is bad.	天气不好。
it is a nice day.	今天天气不错。
i like sunny days.	我喜欢晴天。
winter is cold.	冬天很冷。
summer is hot.	夏天很热。
spring is warm.	春天很暖和。
autumn is cool.	秋天很凉快。
it is seven o clock.	现在七点了。
it is nine o clock.	现在九点了。
what time is it?	现在几点？
it is time to go.	该走了。
it is time to sleep.	该睡觉了。
i am free today.	我今天有空。
i am busy today.	我今天很忙。
see you next week.	下周见。
this is my family.	这是我的家人。
my father is a doctor.	我的爸爸是一个医生。
my mother is a teacher.	我的妈妈是一个老师。
my sister is a student.	我的姐姐是一个学生。
my brother is tall.	我的哥哥很高。
my family is happy.	我的家人很快乐。
i love my family.	我爱我的家人。
i love my mother.	我爱我的妈妈。
i love my father.	我爱我的爸爸。
i have a brother.	我有一个哥哥。
i have a sister.	我有一个姐姐。
i have a dog.	我有一只狗。
i have a cat.	我有一只猫。
the dog is small.	这只狗很小。
the cat is white.	这只猫是白色的。
the house is big.	这个房子很大。
the room is clean.	这个房间很干净。
the door is open.	门是开着的。
the window is closed.	窗户是关着的。
my home is near.	我的家很近。
my home is far.	我的家很远。
we live in beijing.	我们住在北京。
we live in a big city.	我们住在一个大城市。
the garden is beautiful.	这个花园很漂亮。
the sky is blue.	天空是蓝色的。
i study at school.	我在学校学习。
i like my school.	我喜欢我的学校。
my teacher is kind.	我的老师很和善。
i have a class today.	我今天有课。
i have no class today.	我今天没有课。
i read english books.	我读英语书。
i learn chinese.	我学习中文。
i learn to write.	我学习写字。
i do my homework at home.	我在家做作业。
the homework is easy.	这个作业很容易。
the question is hard.	这个问题很难。
i know the answer.	我知道答案。
i do not know.	我不知道。
please help me.	请帮助我。
i go to the office.	我去办公室。
my work is busy.	我的工作很忙。
i like my work.	我喜欢我的工作。
i finish my work.	我完成了工作。
i work every day.	我每天工作。
i have a meeting.	我有一个会议。
the meeting is long.	这个会议很长。
my friend works here.	我的朋友在这里工作。
he is a good worker.	他是一个好工人。
she works in a hospital.	她在医院工作。
he works in a school.	他在学校工作。
i go to the shop.	我去商店。
the shop is open.	商店开门了。
the shop is closed.	商店关门了。
i want to buy a book.	我想买一本书。
i want to buy a bag.	我想买一个包。
how much is it?	这个多少钱？
it is ten yuan.	这个十元。
it is too expensive.	这个太贵了。
it is very cheap.	这个很便宜。
i buy two apples.	我买两个苹果。
i pay for the food.	我付食物的钱。
i go to the station.	我去车站。
the train is late.	火车晚点了。
the bus is coming.	公共汽车来了。
i go to the airport.	我去机场。
the plane is big.	飞机很大。
i like to travel.	我喜欢旅行。
i go to shanghai.	我去上海。
i go to the park.	我去公园。
the park is beautiful.	公园很漂亮。
i take a photo.	我拍一张照片。
the city is big.	这个城市很大。
the street is long.	这条街很长。
i walk on the street.	我在街上走。
